Title,ISBN
Blacks in colonial America /,9780786403394;078640339X
"Slavery in the structure of American politics, 1765-1820 /",9780151829729;0151829721
Runaway slave advertisements : a documentary history from the 1730s to 1790 /,9780313239113;0313239118
Runaway slave advertisements : a documentary history from the 1730s to 1790 /,9780313239120;0313239126
Runaway slave advertisements : a documentary history from the 1730s to 1790 /,9780313239458;0313239452
Runaway slave advertisements : a documentary history from the 1730s to 1790 /,9780313239465;0313239460
"Mastered by the clock : time, slavery, and freedom in the American South /",9780807823446;0807823449;9780807846933;0807846937
Holy warriors : the abolitionists and American slavery /,080901596X;9780809015962
Holy warriors : the abolitionists and American slavery /,9780809055197;0809055198;9780809001231;0809001233
Slavery and freedom in the age of the American Revolution /,9780813909691;0813909694
"Proslavery : a history of the defense of slavery in America, 1701-1840 /",9780820309279;0820309273;9780820312286;0820312282
David Walker's appeal to the coloured citizens of the world /,9780271019932;027101993X;9780271019949;0271019948
The origins of American slavery : freedom and bondage in the English colonies /,9780809074563;0809074567;9780809016082;0809016087
The first emancipation : the abolition of slavery in the North /,
To awaken my afflicted brethren : David Walker and the problem of antebellum slave resistance /,0271015780;9780271015781;0271015799;9780271015798;0271029277;9780271029276
American Negro slave revolts /,9780717806058;0717806057
American negro slave revolts /,9780717800049;0717800040
American negro slave revolts /,
Black Resistance before the civil war /,
Encyclopedia of slave resistance and rebellion.,9780313332715;0313332711;9780313332722;031333272X
Encyclopedia of slave resistance and rebellion.,9780313332715;0313332711;9780313332739;0313332738
Runaway slaves : rebels on the plantation /,9780195084498;0195084497
Of one blood : abolitionism and the origins of racial equality /,9780520207943;0520207947;9780520226791;0520226798
"Mutiny on the Amistad : the saga of a slave revolt and its impact on American abolition, law, and diplomacy /",9780195038286;0195038282
The Amistad affair /,
The Amistad rebellion : an Atlantic odyssey of slavery and freedom /,0670025046;9780670025046
"The river flows on : Black resistance, culture, and identity formation in early America /",9780807131091;0807131091;9780807133316;0807133310
Cannibals all : or Slaves without masters /,0674094514;9780674094512
Documents of upheaval /,
Apropos of Africa : sentiments of Negro leaders on Africa from the 1800s to the 1950s /,9780714617572;0714617571
John P. Hale and the politics of abolition /,
Black utopia : Negro communal experiments in America /,
"Cotton and capital : Boston businessmen and antislavery reform, 1854-1868 /",9780870237492;0870237497
The abolitionist sisterhood : women's political culture in antebellum America /,9780801480119;0801480116
Antislavery reconsidered : new perspectives on the abolitionists /,9780807104798;0807104795
Abolitionism : a revolutionary movement /,9780805797022;0805797025
"An essay on slavery and abolitionism, with reference to the duty of American females /",9780836987034;0836987039
Mastering America : Southern slaveholders and the crisis of American nationhood /,0521833957;9780521833950;0521541778;9780521541770
Southern outcast : Hinton Rowan Helper and the impending crisis of the South /,9780807131787;0807131784
"The anti-slavery impulse, 1830-1844 /",
Forerunners of Black Power : the rhetoric of abolition /,
The Cambridge companion to Frederick Douglass /,0521717876;9780521717878;0521889235;9780521889230
The chattel principle : internal slave trades in the Americas /,9780300103557;0300103557
The black peoples of America /,9780340790335;0340790334
"The slave power : its character, career and probable designs... /",
"The Cause of the South : Selections from de Bow's Review, 1846-1867 /",9780807110096;0807110094;9780807110393;0807110396
The heart is like heaven : the life of Lydia Maria Child /,
An appeal in favor of Americans called Africans /,
The first woman of the republic : a cultural biography of Lydia Maria Child /,9780822314851;0822314851
Crusaders and compromisers : essays on the relationship of the antislavery struggle to the antebellum party system /,9780313225376;0313225370
The abolitionists : reformers or fanatics? /,
The problem of slavery in the age of emancipation /,9780307389695;0307389693
The abolitionist imagination /,0674064445;9780674064447
Review of the debate in the Virginia legislature of 1831 and 1832 /,1429013907;9781429013901
Carry me back : the domestic slave trade in American life /,0195160401;9780195160406;0195310195;9780195310191
The Frederick Douglass papers.,9780300022469;0300022468
The Frederick Douglass papers.,9780300026610;0300026617
The Frederick Douglass papers.,9780300029239;0300029233
The Frederick Douglass papers.,9780300046724;0300046723
The Frederick Douglass papers.,9780300048773;0300048777
The life and writings of Frederick Douglass /,
Abolition : a history of slavery and antislavery /,0521600855;9780521600859;052184102X;9780521841023
Black protest : issues and tactics /,9780837163666;0837163668
The abolitionists : the growth of a dissenting minority /,
Frederick Douglass : the clarion voice /,
"Life and times of Frederick Douglass, written by himself... /",9780020023500;0020023502
My Bondage and my Freedom /,
"Narrative of the life of Frederick Douglass, an American slave /",9780385007054;0385007051
"Narrative of the life of Frederick Douglass, an American slave : written by himself /",
"Narrative of the life of Frederick Douglass, an American slave, written by himself : authoritative text, contexts, criticism /",9780393969665;0393969665
The Frederick Douglass papers : series two : autobiographical writings /,9780300071962;0300071965
The Oxford Frederick Douglass reader /,9780195091182;0195091183
The life and writings of Frederick Douglass /,
The life and writings of Frederick Douglass /,
The life and writings of Frederick Douglass /,
"Frederick Douglass, the orator : containing an account of his life, his eminent public services, his brilliant career as orator, selections from his speeches and writings /",
Slave and Citizen : the Life of Frederick Douglass /,9780316380010;0316380016
The mind of Frederick Douglass /,9780807816165;0807816167
Young Frederick Douglass : the Maryland years /,9780801824395;0801824397
Frederick Douglass /,
Frederick Douglass : new literary and historical essays /,9780521380409;0521380405
Frederick Douglass /,9780837119786;0837119782
The antislavery vanguard : new essays on the abolitionists /,
Antislavery : the crusade for freedom in America /,
"Jacksonian antislavery & the politics of free soil, 1824-1854 /",9780807828885;0807828882;9780807855553;0807855553
"Cotton is King, and pro-slavery arguments : comprising the writings of Hammond, Harper, Christy, Stringfellow, Hodge, Bledsoe and Cartwright /",
Emerson's antislavery writings /,9780300059700;0300059701
Defending slavery : proslavery thought in the Old South : a brief history with documents /,0312133278;9780312133276
Time on the cross.,
Time on the cross.,9780393312188;0393312186
Slavery and the numbers game : a critique of Time on the cross /,0252071514;9780252071515
Slavery and the numbers game : a critique of Time on the cross /,0252005643;9780252005640;0252005651;9780252005657
Slavery in white and black : class and race in the Southern slaveholders' new world order /,0521897009;9780521897006;0521721814;9780521721813
A sacred circle : the dilemma of the intellectual in the Old South /,9780801819674;0801819679
Abolition and social justice in the era of reform /,
"The crusade against slavery, 1830-1860 /",
"The South in Northern eyes, 1831 to 1861 /",
"Gregarious saints : self and community in American abolitionism, 1830-1870 /",9780521244299;0521244293
William Lloyd Garrison and the fight against slavery : selections from The Liberator /,9780312122454;0312122454;9780312103866;0312103867
William Lloyd Garrison /,
"William Lloyd Garrison, 1805-1879 : the story of his life /",
The Letters of William Lloyd Garrison /,
The Letters of William Lloyd Garrison /,
The Letters of William Lloyd Garrison /,
The Letters of William Lloyd Garrison /,9780674526617;0674526619
The Letters of William Lloyd Garrison /,9780674526631;0674526635
The Letters of William Lloyd Garrison /,9780674526655;0674526651
William Lloyd Garrison and the humanitarian reformers /,
The liberator : William Lloyd Garrison : a biography /,
A consuming fire : the fall of the Confederacy in the mind of the white Christian South /,9780820320465;0820320463
"The slaveholders' dilemma : freedom and progress in southern conservative thought, 1820-1860 /",9780872497832;0872497836
"Urban slavery in the American South, 1820-1860 : a quantitative history /",9780226301044;0226301044
Letters to Catherine E. Beecher /,
The Grimke sisters from South Carolina : rebels against slavery /,
The political worlds of slavery and freedom /,0674032969;9780674032965
Border war : fighting over slavery before the Civil War /,0807834319;9780807834312
The Abolitionists : immediatism and the question of means /,
Strained sisterhood : gender and class in the Boston Female Anti-Slavery Society /,9780870238482;0870238485
The impending crisis of the South : how to meet it /,
"American slavers and the federal law, 1837-1862 /",
"The Abolitionists, together with personal memories of the struggle for human rights, 1830-1864 /",9780837126845;0837126843
"The ideology of slavery : proslavery thought in the Antebellum South, 1830-1860 /",9780807108925;0807108928
Abolitionists remember : antislavery autobiographies & the unfinished work of emancipation /,0807832081;9780807832080;0807858854;9780807858851
River of dark dreams : slavery and empire in the cotton kingdom /,0674045556;9780674045552
The great silent army of abolitionism : ordinary women in the antislavery movement /,9780807847411;0807847410
"Means and ends in American abolitionism : Garrison and his critics on strategy and tactics, 1834-1850 /",
"Elijah P. Lovejoy, abolitionist editor /",
The anti-slavery papers of James Russell Lowell /,
The problem of democracy in the age of slavery : Garrisonian abolitionists and transatlantic reform /,0807150185;9780807150184
The anti-slavery crusade : a chronicle of the gathering storm /,
"The war against proslavery religion : abolitionism and the northern churches, 1830-1865 /",9780801415890;0801415896
The antislavery rank and file : a social profile of the abolitionists' constituency /,9780313247231;0313247234
Against wind and tide : a biography of Wm Lloyd Garrison /,
Lucretia Mott /,
Northern labor and antislavery : a documentary history /,9780313278075;0313278075
"The Pro-slavery argument : as maintained by the most distinguished writers of the Southern States containing the several essays, on the subject, of /",1425554741;9781425554743
Bound with them in chains : a biographical history of the antislavery movement /,
Radical abolitionism : anarchy and the government of God in antislavery thought /,
Wendell Phillips : Brahmin radical /,
Wendell Phillips on civil rights and freedom /,
The story of Wendell Phillips : soldier of common good /,
Prophet of liberty : the life and times of Wendell Phillips /,
Wendell Phillips : liberty's hero /,9780807112571;0807112577
Black abolitionists /,
"Powder keg : northern opposition to the antislavery movement, 1831-1840 /",
Reckoning with slavery : a critical study in the quantitative history of American negro slavery /,9780195020342;0195020340
Gentlemen of property and standing : anti-abolition mobs in Jacksonian America /,
The abolitionists : a collection of their writings /,
Masters of the big house : elite slaveholders of the mid-nineteenth-century South /,0807128821;9780807128824;0807131555;9780807131558
"Ballots for freedom : antislavery politics in the United States, 1837-1860 /",9780393009668;0393009661
Slavery in North America : from the colonial period to emancipation.,1851969667;9781851969661
Peculiar institution : Negro slavery in the American South /,
The peculiar institution : slavery in the ante-bellum South /,
The peculiar institution : slavery in the ante-bellum South /,9780679723073;0679723072
Giants : the parallel lives of Frederick Douglass and Abraham Lincoln /,0446698989;9780446698986
The black hearts of men : radical abolitionists and the transformation of race /,0674013670;9780674013674
"The controversy over the distribution of abolition literature, 1830-1860 /",
"Ballots for freedom : antislavery politics in the United States, 1837-1860 /",9780195019971;0195019970
"Emotion at high tide : abolition as a controversial factor, 1830-1854 /",
"The death of slavery : the United States, 1837-65 /",
Abolitionism : a new perspective /,
Reminiscences of early anti-slavery days /,9780912268019;0912268018
The ideological origins of Black nationalism /,9780807054284;0807054283
Slave culture : nationalist theory and the foundations of black America /,9780195042658;0195042654
Anti-slavery and reform papers /,
A pro-slavery crusade : the agitation to reopen the African slave trade /,
Lewis Tappan and the evangelical war against slavery /,
Equal under law /,
"Slavery unmasked : being a truthful narrative of a three years' residence and journeying in eleven Southern states, to which is added the invasion of Kansas, including the last chapter of her wrongs /",
The radical republicans : Lincoln's vanguard for racial justice /,
The antislavery appeal : American abolitionism after 1830 /,0393954447;9780393954449
The antislavery appeal : American abolitionism after 1830 /,9780801818615;0801818613
"Race and rights : fighting slavery and prejudice in the Old Northwest, 1830-1870 /",0875804578;9780875804576
Family or freedom : people of color in the antebellum South /,081313692X;9780813136929
"Moral choices : memory, desire and imagination in nineteenth-century American abolition /",9780807102626;0807102628
Theodor Weld : crusader for freedom /,
American slavery as it is : testimony of a thousand witnesses /,
"Letters of Theodore Dwight Weld, Angelina Grimke Weld and Sarah Grimke, 1822-1844 /",
Ante-bellum : writings of George Fitzhugh and Hinton Rowan Helper on slavery /,9780399500220;0399500227
On freedom's altar : the martyr complex in the abolition movement /,
Yankee saints and Southern sinners /,9780807112441;0807112445
"Black women abolitionists : a study in activism, 1828-1860 /",9780870497360;0870497367
"Southern emancipator : Moncure Conway, the American years, 1832-1865 /",9780195042641;0195042646
Frederick Douglass' Civil War : keeping faith in jubilee /,9780807114636;0807114634
Critical essays on Frederick Douglass /,9780816173013;081617301X
Frederick Douglass : race and the rebirth of American liberalism /,0700615725;9780700615728
Frederick Douglass /,9780393028232;0393028232
"The hammer and the anvil : Frederick Douglass, Abraham Lincoln, and the end of slavery in America /",0809053586;9780809053582
"George Fitzhugh, propagandist of the Old South /",
All on fire : William Lloyd Garrison and the abolition of slavery /,0393332365;9780393332360;9780312187408;0312187408;9780312253677;0312253672
David Ruggles : a radical black abolitionist and the Underground Railroad in New York City /,0807833266;9780807833261;0807872644;9780807872642
"New worlds for all : Indians, Europeans and the remaking of early America /",9780801854484;0801854482;9780801859595;080185959X
"Bound for Canaan : the epic story of the underground railroad, America's first civil rights movement /",9780060524319;0060524316
The travels of William Wells Brown /,9780748603084;0748603085
"The slave catchers : enforcement of the fugitive slave law, 1850-1860 /",9780807811412;0807811416
"Reminiscences of Levi Coffin, the reputed president of the underground railroad /",
"A north-side view of slavery : the refugee, or the narratives of fugitive slaves in Canada... with an account of the history and condition of the colored population of upper Canada /",
The Dred Scott Case : its significance in American law and politics /,9780195024036;0195024036;9780195145885;0195145887
Dred Scott v. Sandford : a brief history with documents /,9780312128074;031212807X;9780312115944;0312115946
Dred Scott v. Sandford : a brief history with documents /,9781319048983;1319048986
The liberty line : the legend of the underground railroad /,
The Dred Scott decision : law or politics ? /,
"Love, liberation, and escaping slavery : William and Ellen Craft in cultural memory /",9780820338026;0820338028;9780820347240;0820347248
Shadrach Minkins : from fugitive slave to citizen /,9780674802995;0674802993
Epic journeys of freedom : runaway slaves of the American Revolution and their global quest for liberty /,9780807055144;080705514X;0807055158;9780807055151
"The underground railroad : a record of facts, authentic narratives, letters, &c., narrating the hardships, hair-breadth escapes, and death struggles of the slaves in their efforts for freedom, as related by themselves and others or witnessed by the author : together with sketches of some of the largest stockholders and most liberal aiders and advisers of the road.",1406824283;9781406824285
The underground railroad.,1406824291;9781406824292
Dred Scott's case /,
Modern Medea : a family story of slavery and child-murder from the Old South /,9780809069538;0809069539;9780809069545;0809069547
Freeing Charles : the struggle to free a slave on the eve of the Civil War /,0252034392;9780252034398;0252076885;9780252076886
"A John Brown reader : the story of John Brown in his own words, in the words of those who knew him, and in the poetry and prose of the literary heritage /",
Patriotic treason : John Brown and the soul of America /,0803219466;9780803219465
John Brown /,
"John Brown still lives! : America's long reckoning with violence, equality, & change /",0807835013;9780807835012
His soul goes marching on : responses to John Brown and the Harpers Ferry raid /,9780813915364;0813915368;9780813915371;0813915376
Midnight rising : John Brown and the raid that sparked the Civil War /,0312429266;9780312429263
John Brown's war against slavery /,0521514436;9780521514439
To purge this land with blood : a biography of John Brown /,9780061316555;0061316555
"His promised land : the autobiography of John P. Parker, former slave and conductor on the underground railroad /",9780393039412;0393039412
Allies for freedom : blacks and John Brown /,9780195017700;0195017706
Blacks on John Brown /,9780252002458;0252002458
John Brown : the making of a revolutionary : the story of John Brown in his own words and in the words of those who knew him /,
The tribunal : responses to John Brown and the Harpers Ferry Raid /,0674048857;9780674048850
Nativism and slavery : the northern know nothings and the politics of the 1850s /,0195089227;9780195089226;9780195072334;0195072332
Military necessity and civil rights policy : black citizenship and the Constitution /,9780804691666;0804691665
Toussaint Louverture and the American Civil War : the promise and peril of a second Haitian revolution /,081224205X;9780812242058
Antislavery origins of the Civil War in the United States /,
The Gray and the Black : the Confederate debate on emancipation /,9780783784533;0783784538
"Grant, Lincoln and the freedman : reminiscences of the Civil War, with special reference to the work for the contrabands and freedmen of the Mississippi Valley /",
Slavery's ghost : the problem of freedom in the age of emancipation /,1421402351;9781421402352;142140236X;9781421402369
The emancipation proclamation /,
"Freedom : a documentary history of emancipation, 1861-1867 /",9780521229791;0521229790
"From contraband to freedman : federal policy toward Southern Blacks, 1861-1865 /",
"Freedpeople in the tobacco South : Virginia, 1860-1900 /",9780807824603;0807824607;9780807847633;0807847631
Colonization after Emancipation : Lincoln and the movement for black resettlement /,9780826219091(hbk.);0826219098;9780826219091
Lincoln's hundred days : the Emancipation Proclamation and the war for the union /,0674066901;9780674066908
The negro's Civil War : how American negroes felt and acted during the war for the Union /,
The struggle for equality /,
Emancipation and reconstruction /,9780882959955;0882959956
"Bitter fruits of bondage : the demise of slavery and the collapse of the Confederacy, 1861-1865 /",9780813923093;0813923093
The problem of emancipation : the Caribbean roots of the American Civil War /,0807133388;9780807133385;0807135593;9780807135594
Slavery as a cause of the Civil War /,
Free but not equal : the Midwest and the Negro during the Civil War /,
Civil War and reconstruction /,
English public opinion and the American Civil War /,9780861932634;0861932633
Lincoln and the coming of the Civil War /,
Lincoln and the decision for war : the northern response to secession /,0807831883;9780807831885
Lincoln as they saw him /,
Reconfiguring the Union : Civil War transformations /,9781137336477;1137336471
The Civil War and reconstruction /,
Essays on the American Civil War /,
"Lincoln bibliography, 1839-1939 /",
"Lincoln bibliography, 1839-1939 /",
"Abraham Lincoln, 12 February 1809-15 April 1865 : interpretations on the one hundred and fiftieth anniversary of his birth.",
Abraham Lincoln /,
Created equal? The complete Lincoln-Douglas debates of 1858 /,
The Lincoln reader /,
Abraham Lincoln : a life.,0801889936;9780801889936
A house dividing : Lincoln as president elect /,
"Abraham Lincoln, 1809-1858 /",
The life of Abraham Lincoln /,
Abraham Lincoln /,
Lincoln /,0582032792;9780582032798
Lincoln : a life of purpose and power /,9781400044566;1400044561
The Lincoln Nobody Knows /,
Lincoln the lawyer /,0252031814;9780252031816;0252076141;9780252076145
Lincoln /,0684808463;9780684808468;068482535X;9780684825359
Lincoln reconsidered : essays on the Civil War era /,
Lincoln reconsidered : essays on the Civil War era /,9780375725326;0375725326
Why was Lincoln murdered? /,
Prelude to greatness : Lincoln in the 1850s /,
The changing image of Lincoln in American historiography /,
The leadership of Abraham Lincoln /,
Abraham Lincoln and Civil War America : a biography /,9780195150995;0195150996;9780195151008;0195151003
The enduring Lincoln /,
"Herndon's informants : letters, interviews, and statements about Abraham Lincoln /",9780252023286;0252023285
Herndon's Lincoln /,9780252030727;0252030729
Abraham Lincoln and the Union /,9780316343145;0316343145
Herndon's life of Lincoln : the history and personal recollections of Abraham Lincoln as originally written by William H. Herndon and Jesse W. Weik /,
Lincoln and the war governors /,
"Lincoln, the war president : the Gettysburg lectures /",9780195078916;0195078918;9780195089110;0195089111
Collected works /,
Collected works : index /,
"Collected works : supplement, 1832-1865 /",
"Speeches and letters, 1832-1865 /",
"The living Lincoln : the man, his mind, his times, and the war he fought, reconstructed from his own writings /",
"The political debates between Abraham Lincoln and Stephen A. Douglas in the senatorial compaign of 1858 in Illinois, together with certain preceding speeches of each at Chicago, Springfield, etc. /",
Lincoln /,
Abraham Lincoln /,0195374525;9780195374520
Lincoln : a foreigner's quest /,9780670881284;0670881287
The Abraham Lincoln encyclopedia /,9780306802096;0306802090
The last best hope of Earth : Abraham Lincoln and the promise of America /,9780674511262;0674511263
Lincoln : a contemporary portrait /,
Lincoln and the Gettysburg address : commemorative papers /,
Our Lincoln : new perspectives on Lincoln and his world /,0393067564;9780393067569;0393337057;9780393337051
With malice toward none : the life of Abraham Lincoln /,9780049730106;004973010X
Abraham Lincoln : the man behind the myths /,9780452007345;0452007348
The presidency of Abraham Lincoln /,9780700606719;0700606718;9780700607457;0700607455
"Lincoln and his America, 1809-1865, with the words of Abraham Lincoln /",
Lincoln and the negro /,
Lincoln the President /,
Lincoln the President /,
Lincoln the President /,
Lincoln the liberal statesman /,
Abraham Lincoln : the prairie years and the war years /,
Abraham Lincoln : the prairie years and the war years /,9780151006403;0151006407
Conversations with Lincoln /,
"Sermons preached in Boston on the death of Abraham Lincoln, together with the funeral services in the east room of the executive mansion at Washington.",
Lincoln's quest for union : public and private meanings /,9780465041190;0465041191
The life of Abraham Lincoln /,
Abraham Lincoln : a biography /,
Portrait for posterity : Lincoln and his biographers /,
A. Lincoln : a biography /,1400064996;9781400064991
Abraham Lincoln and the United States /,
Lincoln and his generals /,
Lincoln and the radicals /,
Lincoln and the politics of slavery /,
Loathing Lincoln ; an American tradition from the Civil War to the present /,9780807153833;0807153834
Forced into glory : Abraham Lincoln's white dream /,9780874850857;0874850851;9780874850024;0874850029
Lincoln and Black freedom : a study in presidential leadership /,9780872499973;0872499979
Lincoln and the politics of slavery : the other Thirteenth Amendment and the struggle to save the union /,1469627310;9781469627311
Abraham Lincoln and white America /,0700618279;9780700618279
"What shall we do with the Negro? : Lincoln, white racism, and Civil War America /",0813927862;9780813927862
Land of Lincoln : adventures in Abe's America /,080214361X;9780802143617
The fiery trial : Abraham Lincoln and American slavery /,0393066185;9780393066180
Lincoln's body : a cultural history /,9780393352634;0393352633
Abraham Lincoln : redeemer president /,9780802842930;0802842933
Lincoln's proclamation : emancipation reconsidered /,0807833169;9780807833162
Abraham Lincoln and the second American Revolution /,0195076060;9780195076066;9780195055429;019505542X
Tried by war : Abraham Lincoln as commander in chief /,1594201919;9781594201912;0143116142;9780143116141
The fate of liberty : Abraham Lincoln and civil liberties /,9780195064964;0195064968
Lincoln in American memory /,9780195065701;0195065700
Abraham Lincoln and the forge of national memory /,9780226741987;0226741982;9780226741970;0226741974
Abraham Lincoln in the post-heroic era : history and memory in late twentieth-century America /,0226741885;9780226741888
"The Union forever : Lincoln, Grant, and the Civil War /",0813134447;9780813134444
Lincoln's political generals /,0252034457;9780252034459
Lincoln's rise to the presidency /,0700615202;9780700615209
Abraham Lincoln /,
Lincoln president-elect : Abraham Lincoln and the great secession winter 1860-1861 /,0743289471;9780743289474;074328948X;9780743289481
The Lincoln-Douglas Debates of 1858 /,0195339428;9780195339420
"The Lincoln-Douglas debates : the first complete, unexpurgated text /",9780823223428;0823223426
"Lincoln, Douglas and slavery : in the crucible of public debate /",9780226978765;0226978761
"Root and branch : Charles Hamilton Houston, Thurgood Marshall, and the struggle to end segregation /",1608193896;9781608193899
Rise to greatness : Abraham Lincoln and America's most perilous year /,1250037808;9781250037800
When Lincoln died /,
Anatomy of an assassination /,
American Brutus : John Wilkes Booth and the Lincoln conspiracies /,9780375759741;0375759743
Mourning Lincoln /,030019580X;9780300195804;030021975X;9780300219753
The Lincoln image : Abraham Lincoln and the popular print /,9780684180724;0684180723
Abraham Lincoln and the American political tradition /,9780870235122;0870235125
The global Lincoln /,019537911X;9780195379112
Lincoln in text and context : collected essays /,9780804713290;0804713294
"Lincoln's avengers : justice, revenge and reunion after the Civil War /",0393326772;9780393326772
John Brown's trial /,0674035178;9780674035171
"Our fiery trial : Abraham Lincoln, John Brown, and the Civil War era /",9780870232619;0870232614
Lincoln and the South /,9780313228438;0313228434
Abraham Lincoln : his Speeches and Writings /,
The political thought of Abraham Lincoln /,
Abraham Lincoln : a documentary portrait through his speeches and writings /,9780804709422;0804709424
Speeches and letters /,9780460871464;0460871463
The Lincoln mailbag : America writes to the President 1861-1865 /,9780809320721;080932072X
What caused the Civil War? : reflections on the South and Southern history /,9780393059472;0393059472;9780393328530;0393328538
The Origins of America's Civil War /,9780713163377;0713163372
"Civil War issues in Philadelphia, 1856-1865 /",
"Union pamphlets of the civil war, 1861-1865 /",
"North and South, by the White Republican /",
The hidden Civil War : the story of the Copperheads /,
State rights in the Confederacy /,9780844613376;0844613371
The politics of dissolution : the quest for a national identity and the American Civil War /,9781560003496;1560003499
Lincoln and Reconstruction /,0809332531;9780809332533
The borderland in the Civil War /,
The imperiled Union : essays on the background of the Civil War /,9780195026818;0195026810
The causes of the Civil War /,9780131212022;0131212028
The causes of the Civil War /,9780671751555;0671751557
Message of the President... to the two houses of Congress.,
Message of the President... to the two houses of Congress.,
Lincoln and the party divided /,
"Emancipation, the Union army, and the reelection of Abraham Lincoln /",0807154571;9780807154571
With malice toward some : treason and loyalty in the Civil War era /,9781469614052;1469614057
"Knights of the Golden Circle : secret empire, southern secession, Civil War /",0807150045;9780807150047
Reconstructing the Union : theory and policy during the Civil War /,
The Earnest Men : Republicans of the Civil War Senate /,9780801413575;0801413575
The Civil War /,
Secession winter : when the Union fell apart. /,1421408953;9781421408958;1421408961;9781421408965
The causes of the American Civil War : an historical perspective /,
Reluctant Confederates : upper South unionists in the secession crisis /,9780807818091;0807818097
Blueprint for modern America : nonmilitary legislation of the first Civil War Congress /,
Apostles of disunion : Southern secession commissioners and the causes of the Civil War /,9780813921044;081392104X
The revolution of 1861 : the American Civil War in the age of nationalist conflict /,0807835234;9780807835234
A disease in the public mind : a new understanding of why we fought the Civil War /,0306821265;9780306821264
Politics and ideology in the age of the Civil War /,9780195027815;0195027817;9780195029260;0195029267
Lincoln and the Border States : preserving the Union /,070061804X;9780700618040
The Louisiana Native Guards : the Black military experience during the Civil War /,9780807119396;0807119393;9780807123362;0807123366
Crisis of the house divided : an interpretation of the issues in the Lincoln-Douglas debates /,
"The crisis of the Union, 1860-1861 /",
Half slave and half free : the roots of Civil War /,9780374523091;0374523096
Half slave and half free : the roots of Civil War /,9780809053537;0809053535
The Great Conspiracy : its origin and history /,
"What they fought for, 1861-1865 /",9780385476348;0385476345
"What they fought for, 1861-1865 /",9780807119044;0807119040
Lords of the loom : the cotton whigs and the coming of the Civil War /,
"The impending crisis, 1848-1861 /",9780060134037;0060134038;9780061319297;0061319295
The American civil war /,9780413281203;0413281205
Politics of union /,9780803289024;0803289022
The origins of the American Civil War /,9780582491779;0582491770;9780582491786;0582491789
Constitutional problems under Lincoln /,
The Causes of the American Civil War /,
The Causes of the Civil War : Institutional Failure or Human Blunder? /,9780030833762;0030833760
The fire-eaters /,9780807117316;0807117315;9780807117750;0807117757
Why the Civil War came /,9780195113761;0195113764
Why the Civil War came /,9780195113761;0195113764
"Subject matter : technology, the body, and science on the Anglo-American frontier, 1500-1676 /",9780674004535;0674004531
Colonial North America and the Atlantic world : a history in documents /,0132342375;9780132342377
"The elusive West and the contest for empire, 1713-1763 /",0807833959;9780807833957
For want of a nail... : if Burgoyne had won at Saratoga /,
Guide to Federal archives relating to the Civil War /,
Marching home : union veterans and their unending Civil War /,0871407817;9780871407818
The won cause : black and white comradeship in the Grand Army of the Republic /,0807834521;9780807834527
"Glorious contentment : the Grand Army of the Republic, 1865-1900 /",9780807820254;0807820253;9780807846285;0807846287
Winning and losing in the Civil War : essays and stories /,9781570030741;157003074X;9781570039171;1570039178
Fifty basic Civil War documents /,9780898744972;0898744970
"The Union in crisis, 1850-1877 /",
The poetry of the American civil war /,
The war of the rebellion : a compilation of the official records of the Union and Confederate armies.,1112057102;9781112057106
The war of the rebellion : a compilation of the official records of the Union and Confederate armies.,1112057110;9781112057113
The war of the rebellion : a compilation of the official records of the Union and Confederate armies.,111205734X;9781112057342
The war of the rebellion : a compilation of the official records of the Union and Confederate armies.,1112057358;9781112057359
The war of the rebellion : a compilation of the official records of the Union and Confederate armies.,9780918678072;0918678072
The war of the rebellion : general index and additions and corrections.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The war of the rebellion. 70v in 128.,
The official atlas of the Civil War.,
Biographical dictionary of the Confederacy /,9780837161242;083716124X
Henry Watkins Allen of Louisiana /,
Beauregard : the great creole /,
P.G.T. Beauregard : Napoleon in gray /,
"Judah P. Benjamin, confederate statesman /",
Braxton Bragg : general of the Confederacy /,
Autobiography and personal reminiscences of Major-General Benj. F. Butler : Butler's book /,
Jefferson Davis and the Civil War era /,080713371X;9780807133712
Private letters 1823-1889 /,
Jefferson Davis /,
Jefferson Davis /,
"Jefferson Davis, American patriot, 1808-1861 /",
"Jefferson Davis, Confederate President /",
"Jefferson Davis, tragic hero : the last twenty-five years, 1864-1889 /",
"Grenville M. Dodge : soldier, politician, railroad pioneer /",
Colonel Elmer Ellsworth : a biography of Lincoln's friend and first hero of the Civil War /,
The making of a soldier : letters of General R.S. Ewell /,
Admiral Farragut /,
